title,synopsis,genres,episodes,score,characters
Cowboy Bebop,"Enter a world in the distant future, where Bounty Hunters roam the solar system. Spike and Jet, bounty hunting partners, set out on journeys in an ever struggling effort to win bounty rewards to survive.<br><br>
While traveling, they meet up with other very interesting people. Could Faye, the beautiful and ridiculously poor gambler, Edward, the computer genius, and Ein, the engineered dog be a good addition to the group?","Action, Adventure, Drama, Sci-Fi",26.0,86,"Spike Spiegel, Ein, Faye Valentine, Rhint Celonias, Vicious, Stella Bonnaro, MPU, Coffee, Appledelhi Siniz Hesap Lütfen, Andy Von de Oniyate, Judy, Shin, Roco Bonnaro, Grencia Mars Elijah Guo Eckener, Julia, Wen, Tongpu, Jet Black, Edward Wong Hau Pepelu Tivrusky IV, Bull, Fad, Meifa Puzi, Abdul Hakim, Dr. Londez, Miles"
Cowboy Bebop: Tengoku no Tobira,"As the Cowboy Bebop crew travels the stars, they learn of the largest bounty yet, a huge 300 million Woolongs. Apparently, someone is wielding a hugely powerful chemical weapon, and of course the authorities are at a loss to stop it. The war to take down the most dangerous criminal yet forces the crew to face a true madman, with bare hope to succeed.
<br><br>
(Source: Anime News Network)","Action, Drama, Mystery, Sci-Fi",1.0,82,"Spike Spiegel, Ein, Faye Valentine, Lee Samson, Judy, Jet Black, Vincent Volaju, Edward Wong Hau Pepelu Tivrusky IV, Captain, Bull, Electra Ovilo, Punch, Bob, Rasheed, Renji, Harris, Lylie Kisha, Old Lady, Steve, Cashier, Kottouhinya Tenshu, Colonel, Jobim, Antonio, Carlos"
TRIGUN,"Vash the Stampede is a wanted man with a habit of turning entire towns into rubble. The price on his head is a fortune, and his path of destruction reaches across the arid wastelands of a desert planet. Unfortunately, most encounters with the spiky-haired gunslinger don't end well for the bounty hunters who catch up with him; someone almost always gets hurt - and it's never Vash.<br>
<br>
Oddly enough, for such an infamous fugitive, there's no proof that he's ever taken a life. In fact, he's a pacifist with a doughnut obsession who's more doofus than desperado. There's a whole lot more to him than his reputation lets on - Vash the Stampede definitely ain't your typical outlaw.<br>
<br>
(Source: Funimation)","Action, Adventure, Comedy, Drama, Sci-Fi",26.0,80,"Kuroneko, Milly Thompson, Vash the Stampede, Rem Saverem, Zazie the Beast, Marilyn Nebraska, Legato Bluesummers, Nicholas D. Wolfwood, Rai-Dei the Blade, Midvalley the Hornfreak, Kaite, Meryl Stryfe, Brilliant Dynamites Neon, Knives Millions, Monev the Gale, E.G. Mine, Chapel the Evergreen, Descartes, Lina, Mary, Dominique the Cyclops, Hoppered the Gauntlet, Jessica, Leonof the Puppet-Master, Cliff Schezar"
Witch Hunter ROBIN,"Robin Sena is a powerful craft user drafted into the STNJ - a group of specialized hunters that fight deadly beings known as Witches. Though her fire power is great, she’s got a lot to learn about her powers and working with her cool and aloof partner, Amon. But the truth about the Witches and herself will leave Robin on an entirely new path that she never expected!<br>
<br>
(Source: Funimation)","Action, Drama, Mystery, Supernatural",26.0,68,"Haruto Sakaki, Akio Kurosawa, Amon, Miho Karasuma, Yurika Doujima, Robin Sena, Nagira Shunji, Michael Lee, Takuma Zaizen, Touko Masaki"
Bouken Ou Beet,"It is the dark century and the people are suffering under the rule of the devil, Vandel, who is able to manipulate monsters. The Vandel Busters are a group of people who hunt these devils, and among them, the Zenon Squad is known to be the strongest busters on the continent. A young boy, Beet, dreams of joining the Zenon Squad. However, one day, as a result of Beet's fault, the Zenon squad was defeated by the devil, Beltose. The five dying busters sacrificed their life power into their five weapons, Saiga. After giving their weapons to Beet, they passed away. Years have passed since then and the young Vandel Buster, Beet, begins his adventure to carry out the Zenon Squad's will to put an end to the dark century. ","Adventure, Fantasy, Supernatural",52.0,65,"Kissu, Zenon, Beet, Poala, Beltoze, Milfa, Grunide, Slade"
Eyeshield 21,"Welcome To the Gridiron of the Damned!   Huge hulking bodies throw themselves at each other, while a tiny lithe body runs between them for the goal!  No, it&rsquo;s not a game of football, it&rsquo;s Sena Kobayakawa trying to evade the monstrous Ha-Ha brothers down the halls of Deimon High School!  But wait!  Sena&rsquo;s incredible skills at not getting caught have been spotted by the devilish (possibly actually demonic) captain of the school&rsquo;s embryonic American style football team, and when Sena asks to be the teams manager, he gets  thrust onto the field as a running back instead!  But there are two BIG catches: first, to keep the identity of their new &ldquo;star&rdquo; player an absolute secret, Yoichi makes Sena wear an opaque visor on his helmet and gives him the alias of &ldquo;Eyeshield 21.&rdquo;  And the second catch?  Well, in order to hit his fastest &ldquo;speed of light&rdquo; running mode, Sena usually has to be absolutely terrified. Not that THAT will be a problem with the monstrous players that he&rsquo;ll soon find himself running from!  The insanity hits the streets when the feet meet the cleats in EYESHIELD 21! <br><br>
(Source: Sentai Filmworks)","Action, Comedy, Sports",145.0,76,"Sena Kobayakawa, Ryokan Kurita, Youichi Hiruma, Kengo Mizumachi, Manabu Yukimitsu, Mamori Anezaki, Daikichi Komusubi, Shun Kakei, Gen Takekura, Haruto Sakuraba, Seijuro Shin, Tarou Raimon, Natsuhiko Taki, Jeremy Watt, Agon Kongou, Mamoru Banba, Koutaro Sasaki, Shozo Togano, Kazuki Juumonji, Koji Kuroki, Hayato Akaba, Doburoku Sakaki, Shien Mushanokoji, Jo Tetsuma, Patrick Spencer"
Hachimitsu to Clover,"Takemoto Yuuta, Mayama Takumi, and Morita Shinobu are college students who share the small apartment. Even though they live in poverty, the three of them are able to obtain pleasure through small things in life. The story follows these characters' life stories as poor college students, as well as their love lives when a short but talented 18 year old girl called Hanamoto Hagumi appears.
<br><br>
(Source: Anime News Network)","Comedy, Drama, Romance, Slice of Life",24.0,76,"Takumi Mayama, Shinobu Morita, Shuuji Hanamoto, Ayumi Yamada, Rokutarou, Rika Harada, Shin, Hagumi Hanamoto, Yuuta Takemoto, Leader, Miwako Teshigawara, Nurse, Kaoru Morita, Takumi Nomiya, Mitsuko Takemoto, Kazuo Aida, Shouda, Kazushi Yamazaki"
Hungry Heart: Wild Striker,"Kyosuke Kano has lived under the shadow of his successful brother Seisuke all his life who is a professional soccer player. Tired of being compared and downgraded at, he abandoned playing soccer until a boy from his new highschool discovered him and asked him to join their team. Kyosuke joins it and befriends two other first year players named Rodrigo and Sakai with the dream of becomming professional soccer players themselves.
<br><br>
(Source: Anime News Network)","Comedy, Slice of Life, Sports",52.0,72,"Ryosei Furuki, Kyosuke Kanou, Seisuke Kanou, Hiroshi Ichikawa, Kouji Sakai Jefferson, Miki Tsujiwaki, Rodrigo, Yuujirou Kamiyama"
Initial D FOURTH STAGE,"Takumi Fujiwara and brothers Keisuke and Ryousuke Takahashi have formed ""Project D,"" a racing team aimed at bringing their driving skills to their full potential outside their prefecture. Using the internet, Project D issues challenges to other racing teams and posts results of their races. Managed by Ryousuke, the team has Takumi engaging in downhill battles with his AE86, while Keisuke challenges opponents uphill. Among their rivals are the Seven-Star Leaf (SSR) and Todo-juku.","Action, Drama, Sports",24.0,80,"Keisuke Takahashi, Daiki Ninomiya, Natsuki Mogi, Takumi Fujiwara, Seiji Iwaki, Tomoyuki Tachi, Kouichirou Iketani, Kenji, Kazumi Akiyama, Kyoko Iwase, Ryousuke Takahashi, Toushiya Joushima, Tooru Suetsugu, Kenta Nakamura, Shuichi Matsumoto, Yuuichi Tachibana, Kyouichi Sudou, Sakamoto, Wataru Akiyama, Bunta Fujiwara, Itsuki Takeuchi, Sakai, Kouzou Hoshino, Hiroshi Fumihiro, Nobuhiko Akiyama"
MONSTER,"Dr. Kenzo Tenma is a renowned Japanese brain surgeon working at a leading hospital in Germany. One night, Dr. Tenma risks his reputation and career to save the life of a critically wounded young boy over that of the town mayor who had been planning to support the hospital financially. A string of mysterious murders begin to occur soon after the operation, and Dr. Tenma emerges as the primary suspect despite no incriminating evidence. 
<br><br>
A doctor is taught to believe that all life is equal; however, when another series of murders occur in the surgeon's vicinity, Dr. Tenma's beliefs are shaken as his actions that night are shown to have much broader consequences than he could have imagined. Leaving behind his life as a surgeon he embarks on a journey across the country to unravel the mystery of the boy he saved.","Drama, Horror, Mystery, Psychological, Thriller",74.0,88,"Karl Neumann, Dieter, Christof Sievernich, Blue Sophie, Rudy-Ulrich Gillen, Anna Liebert, Gustav Milch, Lotte Frank, Helenka Novakova, Peter Jürgens, Jaromír Lipský, Milan Kolacsh, Kenzou Tenma, Gunther Milch, Akanbou, Wolfgang Grimmer, Eva Heinemann, Roberto, Johan Liebert, Fritz Vardemann, Franz Bonaparta, Heinrich Runge, Jan Suk, Martin Reest, Richard Braun"
